kernel,backend,size,M,N,K,algorithm,comparison,runs,baseline_time_ms,baseline_mean_time_ms,baseline_ci_half_ms,baseline_source,baseline_config_id,final_mean_best_ms,final_median_best_ms,final_std_best_ms,mean_improvement_ms,median_improvement_ms,mean_time_reduction_pct,median_time_reduction_pct,mean_speedup,median_speedup,improved_runs,improved_run_pct,all_runs_improved,one_sample_t_statistic,one_sample_t_p_value_one_sided,wilcoxon_statistic,wilcoxon_p_value_one_sided,significant_at_0_05,conclusion,reason
matmul,cuda,1024,1024,1024,1024,bayesian,default_baseline_vs_final_best,10,0.6811200082302094,0.6810144007205963,0.0006865727356923673,default_baseline,32_32_32_1_1,0.2709440030157566,0.2645680010318756,0.02115294920239834,0.41017600521445274,0.41655200719833374,60.22081281685368,61.156918335240675,2.527551984545694,2.575553147957066,10,100.0,yes,61.31960161279579,2.0568346891895714e-13,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,cuda,1024,1024,1024,1024,random,default_baseline_vs_final_best,10,0.6811200082302094,0.6810144007205963,0.0006865727356923673,default_baseline,32_32_32_1_1,0.2661935970187187,0.2573919966816902,0.020711448993253972,0.41492641121149065,0.42372801154851913,60.91825320028642,62.21047780544788,2.571676178227392,2.6462369855685477,10,100.0,yes,63.35203882718732,1.5346728578303364e-13,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,cuda,2048,2048,2048,2048,bayesian,default_baseline_vs_final_best,10,5.8169121742248535,5.81610894203186,0.0026298049087833393,default_baseline,32_32_32_1_1,1.7734960079193116,1.7085279822349548,0.145207537193507,4.043416166305542,4.108384191989899,69.51138413645306,70.62826580388196,3.2988075628735065,3.40567492214782,10,100.0,yes,88.05606692738147,7.960608676552238e-15,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,cuda,2048,2048,2048,2048,random,default_baseline_vs_final_best,10,5.8169121742248535,5.81610894203186,0.0026298049087833393,default_baseline,32_32_32_1_1,1.7877456068992614,1.7447919845581055,0.13544314798001147,4.029166567325592,4.072120189666748,69.26641569695882,70.00484222042408,3.2696591018665955,3.3339062799921826,10,100.0,yes,94.071524584111,4.394517659953919e-15,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,cuda,4096,4096,4096,4096,bayesian,default_baseline_vs_final_best,10,47.980207443237305,47.97993621826172,0.0015022463482201845,default_baseline,32_32_32_1_1,16.43006548881531,15.84176778793335,1.0382475834061844,31.550141954421996,32.138439655303955,65.75657679627001,66.9827025931998,2.9303729515219374,3.02882971902893,10,100.0,yes,96.09491095591365,3.6291638461197416e-15,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,cuda,4096,4096,4096,4096,random,default_baseline_vs_final_best,10,47.980207443237305,47.97993621826172,0.0015022463482201845,default_baseline,32_32_32_1_1,15.736388683319092,15.812903881072998,0.17876564089172323,32.24381875991821,32.16730356216431,67.20233295794743,67.04286053831602,3.049354308511891,3.0342439473466296,10,100.0,yes,570.3775470184794,3.9840969341232514e-22,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,sycl,1024,1024,1024,1024,bayesian,default_baseline_vs_final_best,10,3.0643199682235718,3.0609407901763914,0.20010323334841879,default_baseline,32_32_32_1_1,2.231807994842529,2.280192017555237,0.29753968697721833,0.8325119733810424,0.784127950668335,27.167919212550803,25.588971086557407,1.39577955549627,1.3512837898727441,10,100.0,yes,8.848009628534479,4.9062088297698796e-06,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,sycl,1024,1024,1024,1024,random,default_baseline_vs_final_best,10,3.0643199682235718,3.0609407901763914,0.20010323334841879,default_baseline,32_32_32_1_1,2.172416001558304,2.0536320209503174,0.2657936942859477,0.8919039666652679,1.0106879472732544,29.106097793773046,32.98245476170571,1.42948500074834,1.4921914574442066,10,100.0,yes,10.61141798859543,1.0894110064848281e-06,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,sycl,2048,2048,2048,2048,bayesian,default_baseline_vs_final_best,10,10.01471996307373,10.072166442871094,0.12886015409295837,default_baseline,32_32_32_1_1,4.578457593917847,4.71833598613739,0.3708947488217443,5.436262369155884,5.29638397693634,54.282719728564224,52.885991784744505,2.2006684688766933,2.122602469630553,10,100.0,yes,46.34999848180065,2.534928190928143e-12,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,sycl,2048,2048,2048,2048,random,default_baseline_vs_final_best,10,10.01471996307373,10.072166442871094,0.12886015409295837,default_baseline,32_32_32_1_1,4.656588816642762,4.70963191986084,0.22788294459893058,5.358131146430969,5.305088043212891,53.502555899590476,52.97290451229598,2.155314074734642,2.126433993849133,10,100.0,yes,74.35351712885736,3.641138530993382e-14,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
