kernel,backend,size,M,N,K,algorithm,comparison,runs,trial_1_mean_best_ms,final_mean_best_ms,trial_1_median_best_ms,final_median_best_ms,mean_improvement_ms,median_improvement_ms,mean_time_reduction_pct,median_time_reduction_pct,mean_speedup,median_speedup,improved_runs,improved_run_pct,all_runs_improved,paired_t_statistic,paired_t_p_value_one_sided,wilcoxon_statistic,wilcoxon_p_value_one_sided,significant_at_0_05,conclusion,reason
matmul,cuda,1024,1024,1024,1024,bayesian,trial_1_best_vs_final_best,10,0.48015680015087125,0.2709440030157566,0.4166879951953888,0.2645680010318756,0.20921279713511468,0.13619199395179749,38.645447044291345,33.54501831016265,1.7713041333632285,1.510184346205647,10,100.0,yes,4.412860927018258,0.0008442854472435213,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
matmul,cuda,1024,1024,1024,1024,random,trial_1_best_vs_final_best,10,0.3959424003958702,0.2661935970187187,0.3792480006814003,0.2573919966816902,0.1297488033771515,0.09669601172208786,26.852067746755132,25.418787183581365,1.4975398758223595,1.3411247149933847,8,80.0,no,3.189982311913677,0.005503442045413656,36.0,0.00390625,yes,Significant optimization improvement,final best improved in 8/10 runs
matmul,cuda,2048,2048,2048,2048,bayesian,trial_1_best_vs_final_best,10,3.265223979949951,1.7734960079193116,2.9159120321273804,1.7085279822349548,1.4917279720306396,1.1113519668579102,42.111576111378064,39.10236922582972,1.8298479239596084,1.6535704480943312,10,100.0,yes,4.979779449550878,0.00037983439873941454,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
matmul,cuda,2048,2048,2048,2048,random,trial_1_best_vs_final_best,10,2.6958351790905,1.7877456068992614,2.5807759761810303,1.7447919845581055,0.9080895721912384,0.8241279721260071,27.22228050418875,31.93123386312172,1.5173579072765564,1.4691116623437477,9,90.0,no,3.0467514945086416,0.006932792697726668,45.0,0.001953125,yes,Significant optimization improvement,final best improved in 9/10 runs
matmul,cuda,4096,4096,4096,4096,bayesian,trial_1_best_vs_final_best,10,28.745593452453612,16.43006548881531,27.009103775024414,15.84176778793335,12.315527963638306,9.845024108886719,37.51147961626163,36.447440084613675,1.7389937837539877,1.573510725415947,10,100.0,yes,4.439918218880635,0.000811843401149504,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
matmul,cuda,4096,4096,4096,4096,random,trial_1_best_vs_final_best,10,23.890265798568727,15.736388683319092,21.714696407318115,15.812903881072998,8.153877115249633,6.032744646072388,26.853348712681623,26.9158361092055,1.5187397433478274,1.3874585269624373,8,80.0,no,3.067645665266631,0.006702453029587031,36.0,0.00390625,yes,Significant optimization improvement,final best improved in 8/10 runs
matmul,sycl,1024,1024,1024,1024,bayesian,trial_1_best_vs_final_best,10,3.071948790550232,2.231807994842529,3.181823968887329,2.280192017555237,0.8401407957077026,0.7761918902397156,27.26590860045454,24.761102035957045,1.3915161288861766,1.3292896425921648,10,100.0,yes,9.779869298083154,2.152621613609706e-06,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
matmul,sycl,1024,1024,1024,1024,random,trial_1_best_vs_final_best,10,2.9315072178840635,2.172416001558304,2.9312000274658203,2.0536320209503174,0.7590912163257599,0.7485440075397491,25.88791625141034,26.41485479024229,1.3558924238273178,1.3590116538173675,10,100.0,yes,13.176006282058195,1.7296514607650504e-07,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
matmul,sycl,2048,2048,2048,2048,bayesian,trial_1_best_vs_final_best,10,9.8860032081604,4.578457593917847,10.00985598564148,4.71833598613739,5.307545614242554,5.276672124862671,53.70762887114955,53.0903209026065,2.1697427808855405,2.131791543113846,10,100.0,yes,52.51169189541308,8.274605395587391e-13,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
matmul,sycl,2048,2048,2048,2048,random,trial_1_best_vs_final_best,10,9.864345598220826,4.656588816642762,9.993215799331665,4.70963191986084,5.207756781578064,5.219583988189697,52.804541430842335,53.0792517682361,2.1203218371050223,2.13126355679092,10,100.0,yes,88.04915159279012,7.966231508047664e-15,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
