kernel,backend,size,M,N,K,config_id,BM,BN,BK,TM,TN,algorithms,sample_count,mean_time_ms,best_time_ms,mean_gflops,best_gflops,threads_per_block,shared_memory_bytes,active_blocks_per_sm,theoretical_occupancy
matmul,cuda,1024,1024,1024,1024,128_32_16_2_4,128,32,16,2,4,bayesian;random,5,0.4821280062198639,0.40489600598812103,4500.417824686867,5303.790643128753,512,10240,4,1.0
matmul,cuda,1024,1024,1024,1024,128_32_16_4_2,128,32,16,4,2,bayesian;random,6,0.3686986640095711,0.3190560042858124,5895.143623906177,6730.7419987503845,512,10240,4,1.0
matmul,cuda,1024,1024,1024,1024,128_32_16_4_4,128,32,16,4,4,bayesian;random,3,0.3689653327067693,0.303616002202034,5922.240351754149,7073.025243811123,256,10240,4,0.5
matmul,cuda,1024,1024,1024,1024,128_32_32_2_4,128,32,32,2,4,bayesian;random,3,0.4554453343153,0.3852960020303726,4776.663545832549,5573.594422686782,512,20480,2,0.5
matmul,cuda,1024,1024,1024,1024,128_32_32_4_2,128,32,32,4,2,bayesian;random,3,0.6828586558500925,0.5770079791545868,3186.512604534638,3721.7572816695233,512,20480,2,0.5
matmul,cuda,1024,1024,1024,1024,128_32_32_4_4,128,32,32,4,4,bayesian;random,5,0.33212160170078275,0.27959999442100525,6561.837632098715,7680.556834226703,256,20480,2,0.25
matmul,cuda,1024,1024,1024,1024,128_32_8_2_4,128,32,8,2,4,bayesian;random,3,0.48721066613992053,0.445920005440712,4424.831858759274,4815.8495286112975,512,5120,4,1.0
matmul,cuda,1024,1024,1024,1024,128_32_8_4_2,128,32,8,4,2,bayesian;random,5,0.4850175976753235,0.3955039978027344,4471.88104741007,5429.739420917563,512,5120,4,1.0
matmul,cuda,1024,1024,1024,1024,128_32_8_4_4,128,32,8,4,4,random,1,0.33534400165081024,0.33534400165081024,6403.823051638029,6403.823051638029,256,5120,8,1.0
matmul,cuda,1024,1024,1024,1024,128_64_16_4_4,128,64,16,4,4,bayesian;random,5,0.49166400730609894,0.43782399594783783,4399.21125516549,4904.901667965797,512,12288,4,1.0
matmul,cuda,1024,1024,1024,1024,128_64_32_4_4,128,64,32,4,4,bayesian;random,8,0.4671480003744364,0.37225601077079773,4642.076039407688,5768.835387112742,512,24576,2,0.5
matmul,cuda,1024,1024,1024,1024,128_64_8_4_4,128,64,8,4,4,bayesian;random,6,0.43911733229955036,0.391744002699852,4927.753303829866,5481.85456114147,512,6144,4,1.0
matmul,cuda,1024,1024,1024,1024,32_128_16_2_4,32,128,16,2,4,bayesian;random,4,0.3867120034992695,0.33983999490737915,5585.65123011102,6319.1021662570365,512,10240,4,1.0
matmul,cuda,1024,1024,1024,1024,32_128_16_4_2,32,128,16,4,2,bayesian;random,8,0.35486000031232834,0.30291199684143066,6099.202879029104,7089.463838978195,512,10240,4,1.0
matmul,cuda,1024,1024,1024,1024,32_128_16_4_4,32,128,16,4,4,bayesian,1,0.31782400608062744,0.31782400608062744,6756.832734199486,6756.832734199486,256,10240,4,0.5
